Year,"Geographic
Region",State of Death,"Age
Group","Veteran
Suicides","Veteran
Suicide
Rate
per
100,000","General
Population
Suicides","General
Population
Rate per
100,000"
2011,Midwestern,Indiana,35-54,43,29.5,376,21.3
2011,Midwestern,Indiana,55-74,47,23.3,179,14.1
2011,Midwestern,Indiana,75+,31,31.6,62,15.8
2011,Midwestern,Indiana,All,131,26.8,859,17.5
2011,Midwestern,Iowa,18-34,<10,--,99,14.1
2011,Midwestern,Iowa,35-54,30,46.9,181,22.8
2011,Midwestern,Iowa,55-74,23,23.7,93,15.1
2011,Midwestern,Iowa,75+,10-20,--,30,13.1
2011,Midwestern,Iowa,All,78,32.5,403,17.2
2011,Midwestern,Kansas,18-34,<10,--,118,17.5
2011,Midwestern,Kansas,35-54,16,24.6*,146,19.7
2011,Midwestern,Kansas,55-74,28,30.8,87,16.1
2011,Midwestern,Kansas,75+,10-20,--,30,16.1
2011,Midwestern,Kansas,All,59,25.5,381,17.8
2011,Midwestern,Michigan,18-34,16,34.0*,321,14.8
2011,Midwestern,Michigan,35-54,68,35.2,491,18.0
2011,Midwestern,Michigan,55-74,55,18.3,263,12.8
2011,Midwestern,Michigan,75+,52,32.7,101,15.7
2011,Midwestern,Michigan,All,192,27.4,1176,15.5
2011,Midwestern,Minnesota,18-34,11,35.5*,185,15.0
2011,Midwestern,Minnesota,35-54,37,37.4,252,17.1
2011,Midwestern,Minnesota,55-74,37,22.2,179,17.4
2011,Midwestern,Minnesota,75+,24,25.3,40,12.0
2011,Midwestern,Minnesota,All,109,27.8,656,16.1
2011,Midwestern,Missouri,18-34,10,22.2*,244,17.7
2011,Midwestern,Missouri,35-54,48,34.0,390,24.2
2011,Midwestern,Missouri,55-74,49,22.9,197,16.2
2011,Midwestern,Missouri,75+,38,35.2,77,19.6
2011,Midwestern,Missouri,All,145,28.5,908,19.8
2011,Midwestern,Nebraska,18-34,<10,--,53,12.2
2011,Midwestern,Nebraska,35-54,10-20,--,72,15.2
2011,Midwestern,Nebraska,55-74,11,19.6*,38,10.9
2011,Midwestern,Nebraska,75+,15,41.7*,24,19.4
2011,Midwestern,Nebraska,All,39,26.0,187,13.6
2011,Midwestern,North Dakota,18-34,<10,--,20-30,--
2011,Midwestern,North Dakota,35-54,<10,--,39,23.0
2011,Midwestern,North Dakota,55-74,<10,--,30,22.4
2011,Midwestern,North Dakota,75+,<10,--,<10,--
2011,Midwestern,North Dakota,All,22,34.9,99,18.6
2011,Midwestern,Ohio,18-34,29,39.7,391,15.4
2011,Midwestern,Ohio,35-54,71,27.1,572,18.1
2011,Midwestern,Ohio,55-74,87,22.7,348,14.6
2011,Midwestern,Ohio,75+,61,30.5,100,12.9
2011,Midwestern,Ohio,All,250,27.2,1411,15.9
2011,Midwestern,South Dakota,18-34,<10,--,42,22.0
2011,Midwestern,South Dakota,35-54,<10,--,42,20.3
2011,Midwestern,South Dakota,55-74,12,40.0*,20-30,--
2011,Midwestern,South Dakota,75+,<10,--,<10,--
2011,Midwestern,South Dakota,All,23,29.9,121,19.5
2011,Midwestern,Wisconsin,18-34,15,41.7*,218,17.0
2011,Midwestern,Wisconsin,35-54,27,23.5,293,18.6
2011,Midwestern,Wisconsin,55-74,46,25.6,153,13.4
2011,Midwestern,Wisconsin,75+,22,22.7,51,13.4
2011,Midwestern,Wisconsin,All,110,25.7,715,16.3
2011,Southern,Alabama,18-34,10,23.8*,187,17.1
2011,Southern,Alabama,35-54,38,29.7,229,17.7
2011,Southern,Alabama,55-74,49,28.5,172,17.4
2011,Southern,Alabama,75+,30,39.0,53,18.1
2011,Southern,Alabama,All,127,30.3,641,17.4
2011,Southern,All,18-34,309,32.5,3848,14.2
2011,Southern,All,35-54,824,29.2,5961,18.8
2011,Southern,All,55-74,959,26.0,3875,17.2
2011,Southern,All,75+,571,33.3,1205,17.8
2011,Southern,All,All,2667,29.1,14889,16.9
2011,Southern,Arkansas,18-34,13,48.1*,118,17.6
2011,Southern,Arkansas,35-54,28,38.9,208,27.1
2011,Southern,Arkansas,55-74,30,29.4,100,16.6
2011,Southern,Arkansas,75+,12,24.5*,26,13.8
2011,Southern,Arkansas,All,83,33.2,452,20.3
2011,Southern,Delaware,18-34,<10,--,20-30,--
2011,Southern,Delaware,35-54,<10,--,36,14.6
2011,Southern,Delaware,55-74,10,28.6*,29,15.1
2011,Southern,Delaware,75+,<10,--,<10,--
2011,Southern,Delaware,All,16,19.5*,99,14.1
2011,Southern,District of Columbia,18-34,<10,--,13,5.9*
2011,Southern,District of Columbia,35-54,<10,--,13,8.1*
2011,Southern,District of Columbia,55-74,<10,--,<10,--
2011,Southern,District of Columbia,75+,<10,--,<10,--
2011,Southern,District of Columbia,All,<10,--,36,7.0
2011,Southern,Florida,18-34,48,37.8,563,13.7
2011,Southern,Florida,35-54,159,35.0,1106,21.5
2011,Southern,Florida,55-74,199,30.2,845,20.0
2011,Southern,Florida,75+,140,33.5,313,19.9
2011,Southern,Florida,All,547,33.0,2827,18.8
2011,Southern,Georgia,18-34,26,31.3,304,13.0
2011,Southern,Georgia,35-54,55,20.8,466,16.7
2011,Southern,Georgia,55-74,76,25.9,286,16.3
2011,Southern,Georgia,75+,36,34.6,79,18.0
2011,Southern,Georgia,All,193,25.9,1135,15.5
2011,Southern,Kentucky,18-34,12,38.7*,173,17.5
2011,Southern,Kentucky,35-54,36,35.3,276,22.8
2011,Southern,Kentucky,55-74,46,33.1,170,19.0
2011,Southern,Kentucky,75+,21,35.6,44,17.1
2011,Southern,Kentucky,All,115,34.7,663,19.8
2011,Southern,Louisiana,18-34,11,26.8*,160,14.3
2011,Southern,Louisiana,35-54,24,24.5,228,18.9
2011,Southern,Louisiana,55-74,23,17.2,119,13.5
2011,Southern,Louisiana,75+,24,41.4,47,18.8
2011,Southern,Louisiana,All,82,24.8,554,16.0
2011,Southern,Maryland,18-34,11,26.2*,142,10.5
2011,Southern,Maryland,35-54,26,17.7,209,12.4
2011,Southern,Maryland,55-74,33,18.8,135,12.0
2011,Southern,Maryland,75+,22,26.2,57,17.4
2011,Southern,Maryland,All,92,20.5,543,12.1
2011,Southern,Mississippi,18-34,<10,--,105,15.0
2011,Southern,Mississippi,35-54,10-20,--,139,17.8
2011,Southern,Mississippi,55-74,21,23.6,101,17.4
2011,Southern,Mississippi,75+,19,48.7*,33,19.5
2011,Southern,Mississippi,All,63,28.5,378,16.9
2011,Southern,North Carolina,18-34,33,39.3,317,14.3
2011,Southern,North Carolina,35-54,54,22.2,483,18.0
2011,Southern,North Carolina,55-74,68,21.9,306,16.0
2011,Southern,North Carolina,75+,46,34.1,84,15.2
2011,Southern,North Carolina,All,202,26.2,1190,16.1
2011,Southern,Oklahoma,18-34,17,44.7*,196,21.7
2011,Southern,Oklahoma,35-54,45,47.9,288,29.5
2011,Southern,Oklahoma,55-74,40,27.8,147,19.8
2011,Southern,Oklahoma,75+,25,39.1,45,19.6
2011,Southern,Oklahoma,All,127,37.4,676,23.7
2011,Southern,South Carolina,18-34,11,27.5*,170,15.7
2011,Southern,South Carolina,35-54,44,34.9,245,19.6
2011,Southern,South Carolina,55-74,48,27.3,173,17.4
2011,Southern,South Carolina,75+,19,25.3*,51,18.8
2011,Southern,South Carolina,All,123,29.5,639,17.8
2011,Southern,Tennessee,18-34,16,34.0*,227,15.7
2011,Southern,Tennessee,35-54,45,29.2,385,21.8
2011,Southern,Tennessee,55-74,68,30.4,267,20.3
2011,Southern,Tennessee,75+,33,36.7,62,16.5
2011,Southern,Tennessee,All,162,31.5,941,19.2
2011,Southern,Texas,18-34,67,32.7,801,12.7
2011,Southern,Texas,35-54,167,32.1,1121,16.1
2011,Southern,Texas,55-74,163,24.6,677,15.9
2011,Southern,Texas,75+,95,33.1,190,16.3
2011,Southern,Texas,All,492,29.4,2789,14.9
2011,Southern,Virginia,18-34,19,20.2*,265,13.7
2011,Southern,Virginia,35-54,62,22.8,405,17.5
2011,Southern,Virginia,55-74,63,21.9,265,16.9
2011,Southern,Virginia,75+,35,29.7,90,20.6
2011,Southern,Virginia,All,180,23.3,1025,16.4
2011,Southern,West Virginia,18-34,<10,--,78,19.9
2011,Southern,West Virginia,35-54,21,48.8,124,24.6
2011,Southern,West Virginia,55-74,21,28.8,74,16.9
2011,Southern,West Virginia,75+,10-20,--,25,18.6
2011,Southern,West Virginia,All,60,36.4,301,20.5
2011,Western,Alaska,18-34,<10,--,60,32.6
2011,Western,Alaska,35-54,<10,--,53,26.4
2011,Western,Alaska,55-74,<10,--,20-30,--
2011,Western,Alaska,75+,<10,--,<10,--
2011,Western,Alaska,All,19,25.7*,141,26.4
2011,Western,All,18-34,167,34.4,2589,14.6
2011,Western,All,35-54,496,36.3,3824,19.4
2011,Western,All,55-74,613,29.7,2595,19.3
2011,Western,All,75+,359,34.6,842,21.3
2011,Western,All,All,1636,33.0,9850,17.9
2011,Western,Arizona,18-34,24,53.3,293,19.3
2011,Western,Arizona,35-54,53,37.1,443,26.6
2011,Western,Arizona,55-74,80,35.7,283,22.2
2011,Western,Arizona,75+,50,40.7,102,25.6
2011,Western,Arizona,All,207,38.7,1121,23.1
2011,Western,California,18-34,66,32.8,944,10.1
2011,Western,California,35-54,173,32.8,1494,14.4
2011,Western,California,55-74,223,27.4,1082,16.4
2011,Western,California,75+,135,29.2,384,19.1
2011,Western,California,All,597,29.8,3904,13.8
2011,Western,Colorado,18-34,15,35.7*,245,19.7
2011,Western,Colorado,35-54,53,39.6,371,25.8
2011,Western,Colorado,55-74,51,29.1,212,22.1
2011,Western,Colorado,75+,22,29.3,54,21.9
2011,Western,Colorado,All,141,33.1,882,22.7
2011,Western,Hawaii,18-34,<10,--,62,19.1
2011,Western,Hawaii,35-54,<10,--,57,15.6
2011,Western,Hawaii,55-74,11,23.9*,40-50,--
2011,Western,Hawaii,75+,<10,--,<10,--
2011,Western,Hawaii,All,24,20.0,175,16.3
2011,Western,Idaho,18-34,<10,--,68,18.6
2011,Western,Idaho,35-54,20,55.6,117,29.3
2011,Western,Idaho,55-74,21,38.9,62,20.4
2011,Western,Idaho,75+,10-20,--,19,21.8*
2011,Western,Idaho,All,58,45.3,266,23.0
2011,Western,Montana,18-34,<10,--,65,29.3
2011,Western,Montana,35-54,17,60.7*,86,33.5
2011,Western,Montana,55-74,24,54.5,60,26.2
2011,Western,Montana,75+,10-20,--,16,23.9*
2011,Western,Montana,All,59,56.7,227,29.3
2011,Western,Nevada,18-34,<10,--,108,17.0
2011,Western,Nevada,35-54,26,38.8,191,25.3
2011,Western,Nevada,55-74,29,27.4,153,28.7
2011,Western,Nevada,75+,20-30,--,41,31.0
2011,Western,Nevada,All,81,33.9,493,24.0
2011,Western,New Mexico,18-34,<10,--,123,25.5
2011,Western,New Mexico,35-54,21,43.8,152,28.5
2011,Western,New Mexico,55-74,21,27.6,91,21.3
2011,Western,New Mexico,75+,20-30,--,34,27.9
2011,Western,New Mexico,All,70,40.5,400,25.6
2011,Western,Oregon,18-34,<10,--,160,17.9
2011,Western,Oregon,35-54,50,57.5,260,25.2
2011,Western,Oregon,55-74,50,32.5,161,19.3
2011,Western,Oregon,75+,30-40,--,57,23.2
2011,Western,Oregon,All,139,40.6,638,21.2
2011,Western,Utah,18-34,<10,--,159,20.7
2011,Western,Utah,35-54,18,45.0*,193,29.6
2011,Western,Utah,55-74,19,30.6*,105,26.4
2011,Western,Utah,75+,10-20,--,27,23.6
2011,Western,Utah,All,54,35.5,484,25.0
2011,Western,Washington,18-34,17,28.3*,266,16.4
2011,Western,Washington,35-54,42,23.1,354,18.8
2011,Western,Washington,55-74,72,27.9,289,21.3
2011,Western,Washington,75+,31,28.7,83,22.0
2011,Western,Washington,All,162,26.6,992,18.9
2011,Western,Wyoming,18-34,<10,--,36,26.6
2011,Western,Wyoming,35-54,10,76.9*,53,36.0
2011,Western,Wyoming,55-74,<10,--,27,22.9
2011,Western,Wyoming,75+,<10,--,11,35.2*
2011,Western,Wyoming,All,25,50.0,127,29.4
2011,All,U.S. Total,18-34,673,31.9,10080,13.8
2011,All,U.S. Total,35-54,1996,31.1,15457,18.1
2011,All,U.S. Total,55-74,2325,25.2,9700,16.0
2011,All,U.S. Total,75+,1444,30.2,3142,16.7
2011,All,U.S. Total,All,6447,28.6,38379,16.1
2012,Northeastern,All,18-34,70,27.9,1361,10.6
2012,Northeastern,All,35-54,242,29.5,2279,14.7
2012,Northeastern,All,55-74,269,19.5,1428,12.4
2012,Northeastern,All,75+,163,18.2,401,10.4
2012,Northeastern,All,All,744,22.2,5469,12.5
2012,Northeastern,Connecticut,18-34,<10,--,75,9.7
2012,Northeastern,Connecticut,35-54,18,34.0*,166,16.2
2012,Northeastern,Connecticut,55-74,16,17.2*,94,12.5
2012,Northeastern,Connecticut,75+,<10,--,22,8.7
2012,Northeastern,Connecticut,All,44,19.6,357,12.7
2012,Northeastern,Maine,18-34,<10,--,35,13.2
2012,Northeastern,Maine,35-54,16,45.7*,95,25.6
2012,Northeastern,Maine,55-74,12,21.8*,57,17.5
2012,Northeastern,Maine,75+,<10,--,17,16.9*
2012,Northeastern,Maine,All,38,29.5,204,19.2
2012,Northeastern,Massachusetts,18-34,<10,--,154,9.7
2012,Northeastern,Massachusetts,35-54,25,26.6,261,14.0
2012,Northeastern,Massachusetts,55-74,19,11.7*,139,10.2
2012,Northeastern,Massachusetts,75+,10-20,--,33,7.3
2012,Northeastern,Massachusetts,All,70,17.6,587,11.2
2012,Northeastern,New Hampshire,18-34,<10,--,39,14.1
2012,Northeastern,New Hampshire,35-54,16,50.0*,94,24.3
2012,Northeastern,New Hampshire,55-74,10,20.0*,49,16.4
2012,Northeastern,New Hampshire,75+,<10,--,13,15.3*
2012,Northeastern,New Hampshire,All,34,29.3,195,18.6
2012,Northeastern,New Jersey,18-34,10,30.3*,178,9.3
2012,Northeastern,New Jersey,35-54,21,21.0,279,10.9
2012,Northeastern,New Jersey,55-74,21,11.1,168,9.5
2012,Northeastern,New Jersey,75+,15,11.4*,45,7.7
2012,Northeastern,New Jersey,All,67,14.7,670,9.8
2012,Northeastern,New York,18-34,20,26.0,427,9.0
2012,Northeastern,New York,35-54,51,21.4,655,12.2
2012,Northeastern,New York,55-74,76,20.2,451,11.6
2012,Northeastern,New York,75+,47,18.8,129,10.1
2012,Northeastern,New York,All,194,20.6,1662,10.9
2012,Northeastern,Pennsylvania,18-34,26,37.1,409,14.4
2012,Northeastern,Pennsylvania,35-54,87,36.7,644,18.8
2012,Northeastern,Pennsylvania,55-74,108,26.8,426,15.4
2012,Northeastern,Pennsylvania,75+,54,21.4,127,13.0
2012,Northeastern,Pennsylvania,All,275,28.6,1606,16.0
2012,Northeastern,Rhode Island,18-34,<10,--,24,9.5
2012,Northeastern,Rhode Island,35-54,<10,--,49,17.1
2012,Northeastern,Rhode Island,55-74,<10,--,20-30,--
2012,Northeastern,Rhode Island,75+,<10,--,<10,--
2012,Northeastern,Rhode Island,All,13,17.6*,103,12.3
2012,Northeastern,Vermont,18-34,<10,--,20-30,--
2012,Northeastern,Vermont,35-54,<10,--,36,21.0
2012,Northeastern,Vermont,55-74,<10,--,22,14.7
2012,Northeastern,Vermont,75+,<10,--,<10,--
2012,Northeastern,Vermont,All,<10,--,85,17.0
2012,Midwestern,All,18-34,160,37.6,2286,14.8
2012,Midwestern,All,35-54,417,31.9,3415,19.0
2012,Midwestern,All,55-74,476,23.2,2009,14.6
2012,Midwestern,All,75+,316,29.0,665,15.2
2012,Midwestern,All,All,1370,28.1,8375,16.3
2012,Midwestern,Illinois,18-34,18,26.9*,309,10.1
2012,Midwestern,Illinois,35-54,54,28.0,535,15.2
2012,Midwestern,Illinois,55-74,65,20.9,303,12.2
2012,Midwestern,Illinois,75+,47,27.2,105,13.6
2012,Midwestern,Illinois,All,185,24.9,1252,12.7
2012,Midwestern,Indiana,18-34,21,47.7,241,16.0
2012,Midwestern,Indiana,35-54,65,46.4,389,22.3
2012,Midwestern,Indiana,55-74,43,21.5,217,16.6
2012,Midwestern,Indiana,75+,27,27.6,65,16.4
2012,Midwestern,Indiana,All,156,32.4,912,18.4
2012,Midwestern,Iowa,18-34,<10,--,113,16.0
2012,Midwestern,Iowa,35-54,19,31.1*,151,19.3
2012,Midwestern,Iowa,55-74,15,15.3*,71,11.2
2012,Midwestern,Iowa,75+,10-20,--,29,12.6
2012,Midwestern,Iowa,All,54,22.6,364,15.5
2012,Midwestern,Kansas,18-34,11,42.3*,150,22.0
2012,Midwestern,Kansas,35-54,19,31.1*,188,25.7
2012,Midwestern,Kansas,55-74,22,24.7,106,19.0
2012,Midwestern,Kansas,75+,21,42.9,38,20.3
2012,Midwestern,Kansas,All,73,32.4,482,22.3
2012,Midwestern,Michigan,18-34,21,42.9,334,15.3
2012,Midwestern,Michigan,35-54,40,22.0,488,18.3
2012,Midwestern,Michigan,55-74,66,21.8,284,13.4
2012,Midwestern,Michigan,75+,39,24.5,97,15.0
2012,Midwestern,Michigan,All,166,24.0,1203,15.8
2012,Midwestern,Minnesota,18-34,13,41.9*,154,12.4
2012,Midwestern,Minnesota,35-54,44,46.8,275,18.9
2012,Midwestern,Minnesota,55-74,42,25.0,159,14.9
2012,Midwestern,Minnesota,75+,21,23.1,38,11.3
2012,Midwestern,Minnesota,All,120,31.3,626,15.3
2012,Midwestern,Missouri,18-34,15,32.6*,253,18.2
2012,Midwestern,Missouri,35-54,44,32.4,345,21.7
2012,Midwestern,Missouri,55-74,66,30.8,220,17.6
2012,Midwestern,Missouri,75+,47,43.9,75,18.9
2012,Midwestern,Missouri,All,172,34.2,893,19.3
2012,Midwestern,Nebraska,18-34,<10,--,63,14.4
2012,Midwestern,Nebraska,35-54,12,29.3*,81,17.2
2012,Midwestern,Nebraska,55-74,<10,--,52,14.5
2012,Midwestern,Nebraska,75+,15,46.9*,26,20.9
2012,Midwestern,Nebraska,All,43,29.9,222,16.0
2012,Midwestern,North Dakota,18-34,<10,--,35,18.8
2012,Midwestern,North Dakota,35-54,<10,--,42,24.7
2012,Midwestern,North Dakota,55-74,<10,--,10-20,--
2012,Midwestern,North Dakota,75+,<10,--,<10,--
2012,Midwestern,North Dakota,All,19,29.7*,100,18.4
2012,Midwestern,Ohio,18-34,23,31.5,380,14.9
2012,Midwestern,Ohio,35-54,72,28.9,588,19.0
2012,Midwestern,Ohio,55-74,102,27.2,390,15.9
2012,Midwestern,Ohio,75+,63,32.0,131,16.8
2012,Midwestern,Ohio,All,260,29.1,1489,16.8
2012,Midwestern,South Dakota,18-34,<10,--,45,23.1
2012,Midwestern,South Dakota,35-54,<10,--,51,24.7
2012,Midwestern,South Dakota,55-74,<10,--,30-40,--
2012,Midwestern,South Dakota,75+,<10,--,<10,--
2012,Midwestern,South Dakota,All,19,24.4*,135,21.5
2012,Midwestern,Wisconsin,18-34,15,44.1*,209,16.2
2012,Midwestern,Wisconsin,35-54,35,31.8,282,18.2
2012,Midwestern,Wisconsin,55-74,37,20.4,159,13.4
2012,Midwestern,Wisconsin,75+,16,16.5*,47,12.3
2012,Midwestern,Wisconsin,All,103,24.4,697,15.8
2012,Southern,Alabama,18-34,10,23.8*,160,14.5
2012,Southern,Alabama,35-54,37,29.6,292,22.7
2012,Southern,Alabama,55-74,53,31.0,196,19.3
2012,Southern,Alabama,75+,26,36.1,55,18.5
2012,Southern,Alabama,All,127,31.0,703,19.0
2012,Southern,All,18-34,296,31.1,3916,14.3
2012,Southern,All,35-54,759,27.7,6045,19.1
2012,Southern,All,55-74,994,27.2,4121,17.7
2012,Southern,All,75+,612,35.3,1344,19.5
2012,Southern,All,All,2663,29.3,15426,17.3
2012,Southern,Arkansas,18-34,10,37.0*,126,18.7
2012,Southern,Arkansas,35-54,24,34.3,180,23.6
2012,Southern,Arkansas,55-74,37,35.6,124,20.1
2012,Southern,Arkansas,75+,14,28.0*,36,18.9
2012,Southern,Arkansas,All,85,33.9,466,20.8
2012,Southern,Delaware,18-34,<10,--,38,18.2
2012,Southern,Delaware,35-54,<10,--,43,17.6
2012,Southern,Delaware,55-74,<10,--,26,13.1
2012,Southern,Delaware,75+,<10,--,10,16.8*
2012,Southern,Delaware,All,19,24.7*,117,16.4
2012,Southern,District of Columbia,18-34,<10,--,12,5.3*
2012,Southern,District of Columbia,35-54,<10,--,10-20,--
2012,Southern,District of Columbia,55-74,<10,--,11,10.2*
2012,Southern,District of Columbia,75+,<10,--,<10,--
2012,Southern,District of Columbia,All,<10,--,35,6.6
2012,Southern,Florida,18-34,39,31.2,545,13.0
2012,Southern,Florida,35-54,147,33.7,1141,22.2
2012,Southern,Florida,55-74,203,30.9,906,20.8
2012,Southern,Florida,75+,148,35.4,352,21.9
2012,Southern,Florida,All,538,32.9,2944,19.3
2012,Southern,Georgia,18-34,20,23.5,312,13.2
2012,Southern,Georgia,35-54,64,24.9,440,15.8
2012,Southern,Georgia,55-74,67,22.3,303,16.6
2012,Southern,Georgia,75+,39,35.1,81,17.9
2012,Southern,Georgia,All,190,25.2,1136,15.3
2012,Southern,Kentucky,18-34,21,67.7,199,20.0
2012,Southern,Kentucky,35-54,28,28.3,282,23.6
2012,Southern,Kentucky,55-74,43,30.9,174,18.9
2012,Southern,Kentucky,75+,24,37.5,53,20.4
2012,Southern,Kentucky,All,116,34.8,708,21.0
2012,Southern,Louisiana,18-34,12,28.6*,149,13.2
2012,Southern,Louisiana,35-54,25,26.0,226,18.9
2012,Southern,Louisiana,55-74,33,25.8,131,14.4
2012,Southern,Louisiana,75+,16,25.8*,42,16.5
2012,Southern,Louisiana,All,86,26.2,548,15.7
2012,Southern,Maryland,18-34,<10,--,137,10.0
2012,Southern,Maryland,35-54,27,19.1,228,13.6
2012,Southern,Maryland,55-74,37,21.5,156,13.3
2012,Southern,Maryland,75+,20-30,--,46,13.9
2012,Southern,Maryland,All,93,21.0,567,12.5
2012,Southern,Mississippi,18-34,<10,--,101,14.4
2012,Southern,Mississippi,35-54,24,36.4,177,22.9
2012,Southern,Mississippi,55-74,22,25.3,85,14.3
2012,Southern,Mississippi,75+,20-30,--,39,22.7
2012,Southern,Mississippi,All,72,32.9,402,17.9
2012,Southern,North Carolina,18-34,18,20.9*,313,14.0
2012,Southern,North Carolina,35-54,59,24.8,498,18.5
2012,Southern,North Carolina,55-74,75,24.2,345,17.4
2012,Southern,North Carolina,75+,38,28.4,95,16.8
2012,Southern,North Carolina,All,190,24.7,1251,16.7
2012,Southern,Oklahoma,18-34,17,44.7*,205,22.5
2012,Southern,Oklahoma,35-54,22,24.4,227,23.4
2012,Southern,Oklahoma,55-74,44,30.8,157,20.6
2012,Southern,Oklahoma,75+,28,44.4,49,21.1
2012,Southern,Oklahoma,All,111,33.2,638,22.2
2012,Southern,South Carolina,18-34,25,62.5,160,14.7
2012,Southern,South Carolina,35-54,28,22.8,253,20.3
2012,Southern,South Carolina,55-74,49,28.5,194,18.9
2012,Southern,South Carolina,75+,20,27.4,50,17.9
2012,Southern,South Carolina,All,122,29.9,657,18.0
2012,Southern,Tennessee,18-34,14,29.2*,220,15.0
2012,Southern,Tennessee,35-54,55,36.9,382,21.8
2012,Southern,Tennessee,55-74,65,30.8,273,20.1
2012,Southern,Tennessee,75+,36,38.7,82,21.5
2012,Southern,Tennessee,All,170,33.9,957,19.3
2012,Southern,Texas,18-34,67,32.8,874,13.5
2012,Southern,Texas,35-54,137,26.8,1127,16.1
2012,Southern,Texas,55-74,177,26.8,708,15.9
2012,Southern,Texas,75+,110,37.7,234,19.6
2012,Southern,Texas,All,491,29.4,2943,15.4
2012,Southern,Virginia,18-34,18,19.1*,280,14.3
2012,Southern,Virginia,35-54,53,19.9,409,17.8
2012,Southern,Virginia,55-74,62,21.6,249,15.3
2012,Southern,Virginia,75+,52,45.2,100,22.4
2012,Southern,Virginia,All,185,24.2,1038,16.4
2012,Southern,West Virginia,18-34,<10,--,85,21.6
2012,Southern,West Virginia,35-54,23,54.8,130,26.2
2012,Southern,West Virginia,55-74,19,26.0*,83,18.6
2012,Southern,West Virginia,75+,10-20,--,18,13.2*
2012,Southern,West Virginia,All,63,38.7,316,21.5
2012,Western,Alaska,18-34,<10,--,73,38.6
2012,Western,Alaska,35-54,<10,--,58,29.3
2012,Western,Alaska,55-74,<10,--,20-30,--
2012,Western,Alaska,75+,<10,--,<10,--
2012,Western,Alaska,All,23,31.5,162,29.9
2012,Western,All,18-34,201,41.0,2666,14.8
2012,Western,All,35-54,501,37.8,3881,19.7
2012,Western,All,55-74,612,29.9,2738,19.6
2012,Western,All,75+,349,33.9,871,21.6
2012,Western,All,All,1665,34.1,10156,18.3
2012,Western,Arizona,18-34,32,69.6,297,19.3
2012,Western,Arizona,35-54,69,50.4,404,24.2
2012,Western,Arizona,55-74,77,34.2,325,24.6
2012,Western,Arizona,75+,49,40.8,97,23.6
2012,Western,Arizona,All,227,43.0,1123,22.7
2012,Western,California,18-34,59,29.2,900,9.5
2012,Western,California,35-54,125,24.5,1424,13.7
2012,Western,California,55-74,210,26.1,1088,15.9
2012,Western,California,75+,149,32.5,406,19.8
2012,Western,California,All,544,27.5,3818,13.3
2012,Western,Colorado,18-34,28,65.1,294,23.2
2012,Western,Colorado,35-54,55,42.3,410,28.6
2012,Western,Colorado,55-74,56,32.9,263,26.3
2012,Western,Colorado,75+,23,30.7,53,20.9
2012,Western,Colorado,All,163,39.0,1020,25.8
2012,Western,Hawaii,18-34,<10,--,51,15.4
2012,Western,Hawaii,35-54,<10,--,67,18.4
2012,Western,Hawaii,55-74,10,21.7*,54,18.2
2012,Western,Hawaii,75+,<10,--,13,13.2*
2012,Western,Hawaii,All,25,20.8,185,17.0
2012,Western,Idaho,18-34,<10,--,78,21.2
2012,Western,Idaho,35-54,20,55.6,115,29.0
2012,Western,Idaho,55-74,16,28.6*,64,20.3
2012,Western,Idaho,75+,<10,--,21,23.7
2012,Western,Idaho,All,47,36.2,278,23.8
2012,Western,Montana,18-34,12,120.0*,69,30.7
2012,Western,Montana,35-54,14,53.8*,76,30.1
2012,Western,Montana,55-74,17,38.6*,68,28.8
2012,Western,Montana,75+,10,52.6*,15,22.0*
2012,Western,Montana,All,53,53.5,228,29.2
2012,Western,Nevada,18-34,<10,--,108,16.8
2012,Western,Nevada,35-54,37,56.9,210,27.8
2012,Western,Nevada,55-74,36,35.3,169,30.5
2012,Western,Nevada,75+,10-20,--,32,23.3
2012,Western,Nevada,All,96,41.6,519,24.8
2012,Western,New Mexico,18-34,<10,--,117,24.0
2012,Western,New Mexico,35-54,23,48.9,171,32.6
2012,Western,New Mexico,55-74,24,31.6,102,23.3
2012,Western,New Mexico,75+,10-20,--,35,28.1
2012,Western,New Mexico,All,65,37.1,425,27.0
2012,Western,Oregon,18-34,11,40.7*,162,18.0
2012,Western,Oregon,35-54,47,56.6,289,28.1
2012,Western,Oregon,55-74,51,33.6,180,20.9
2012,Western,Oregon,75+,31,42.5,71,28.6
2012,Western,Oregon,All,140,41.8,702,23.1
2012,Western,Utah,18-34,<10,--,179,23.3
2012,Western,Utah,35-54,26,66.7,225,33.9
2012,Western,Utah,55-74,24,40.0,104,25.1
2012,Western,Utah,75+,10-20,--,20,17.1
2012,Western,Utah,All,69,46.6,528,26.9
2012,Western,Washington,18-34,20,32.8,283,17.2
2012,Western,Washington,35-54,58,33.0,369,19.7
2012,Western,Washington,55-74,74,28.4,264,18.8
2012,Western,Washington,75+,31,27.9,85,22.2
2012,Western,Washington,All,183,30.0,1001,18.9
2012,Western,Wyoming,18-34,<10,--,55,39.6
2012,Western,Wyoming,35-54,10,71.4*,63,42.9
2012,Western,Wyoming,55-74,12,60.0*,33,26.9
2012,Western,Wyoming,75+,<10,--,16,50.2*
2012,Western,Wyoming,All,30,65.2,167,37.9
2012,All,U.S. Total,18-34,727,34.3,10229,13.9
